Proyecciones de población por grupo de edad y comuna según sexo. Ciudad de Buenos Aires. 1 de julio de 2020,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Total,"3,075,646","256,405","149,430","193,276","240,100","187,518","185,456","241,861","228,953","171,264","170,592","190,076","214,777","236,358","227,115","182,465"
0-4,"204,007","16,861","6,938","11,801","19,461","10,883","11,024","17,965","23,067","12,133","10,834","11,311","13,906","14,133","12,450","11,240"
5-9,"202,200","15,411","6,677","11,577","19,756","11,004","10,716","17,921","22,515","12,892","11,591","12,524","13,529","13,164","11,364","11,559"
10-14,"198,935","15,385","6,572","11,521","20,264","10,770","9,941","17,734","22,084","12,907","11,316","12,333","12,846","12,645","11,106","11,511"
15-19,"192,179","15,614","8,549","11,364","18,444","10,591","9,690","16,386","19,853","11,722","10,741","11,448","12,158","12,388","12,251","10,980"
20-24,"193,088","19,455","13,077","13,598","15,686","11,095","9,744","15,162","16,573","9,696","9,447","9,870","11,056","12,621","15,511","10,497"
25-29,"211,953","21,637","12,987","14,838","15,905","13,476","12,029","15,599","15,492","10,035","10,036","11,166","13,443","15,402","17,706","12,202"
30-34,"232,275","20,932","11,183","15,342","17,158","15,252","14,649","17,019","15,504","11,373","11,632","13,255","17,225","18,588","18,593","14,570"
35-39,"229,085","19,717","9,614","14,775","17,131","14,626","14,743","17,158","15,608","12,253","12,202","14,018","17,082","18,905","17,248","14,005"
40-44,"223,548","18,866","9,301","14,358","17,360","13,957","13,790","17,064","15,517","12,587","12,301","14,318","15,891","17,774","16,761","13,703"
45-49,"203,306","16,904","9,027","12,935","14,981","12,617","12,793","15,517","13,054","11,270","11,931","13,435","14,902","16,077","14,951","12,912"
50-54,"169,027","14,062","8,018","10,400","12,117","10,730","11,186","13,048","9,717","9,264","10,190","11,419","12,534","13,464","12,553","10,325"
55-59,"157,343","12,719","8,243","9,970","10,961","10,054","10,477","11,856","8,385","8,609","9,391","10,480","11,329","12,840","12,391","9,638"
60-64,"153,265","12,041","8,752","9,453","9,866","9,770","10,327","11,351","7,821","8,321","8,937","10,164","11,338","13,315","12,502","9,307"
65-69,"138,735","10,671","8,308","8,562","8,845","8,850","9,193","10,154","7,027","7,650","7,849","9,183","10,258","12,351","11,709","8,125"
70-74,"122,012","8,851","7,248","7,519","7,809","7,766","8,119","9,077","6,337","6,893","7,310","8,086","9,045","10,578","10,126","7,248"
75-79,"97,501","6,796","5,459","6,072","6,128","6,184","6,488","7,430","4,864","5,757","6,018","6,724","7,370","8,515","7,799","5,897"
80 y más,"147,187","10,483","9,477","9,191","8,228","9,893","10,547","11,420","5,535","7,902","8,866","10,342","10,865","13,598","12,094","8,746"
,,,,,,,,,,,,,,,,(continúa)
,,,,,,,,,,,,,,,,
Varón,,,,,,,,,,,,,,,,
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Total,"1,444,545","127,651","66,707","91,310","114,957","86,312","84,790","113,923","109,653","82,856","80,065","89,756","100,392","107,991","102,784","85,398"
0-4,"105,015","8,886","3,660","6,213","10,058","5,612","5,614","9,325","11,680","6,266","5,523","5,784","7,073","7,343","6,271","5,707"
5-9,"103,973","8,022","3,462","6,087","10,066","5,751","5,428","9,150","11,389","6,736","6,028","6,400","6,863","6,773","5,803","6,015"
10-14,"102,081","8,023","3,396","6,016","10,394","5,518","5,073","9,043","11,153","6,831","5,587","6,476","6,562","6,564","5,625","5,820"
