Proyecciones de población por grupo de edad y comuna según sexo. Ciudad de Buenos Aires. 1 de julio de 2017,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Total,"3,063,728","253,271","149,720","192,763","238,809","186,956","184,846","240,607","226,649","170,605","170,282","189,986","213,914","235,967","226,944","182,409"
0-4,"208,194","17,034","7,119","12,055","19,816","11,126","11,280","18,318","23,331","12,404","11,108","11,618","14,216","14,487","12,751","11,531"
5-9,"203,314","15,342","6,749","11,651","19,820","11,083","10,801","18,002","22,433","12,985","11,709","12,675","13,626","13,291","11,465","11,682"
10-14,"200,467","15,347","6,657","11,619","20,373","10,872","10,042","17,853","22,056","13,028","11,458","12,509","12,967","12,796","11,231","11,659"
15-19,"185,416","14,910","8,294","10,972","17,753","10,235","9,371","15,792","18,983","11,327","10,410","11,114","11,747","12,001","11,862","10,645"
20-24,"201,483","20,087","13,718","14,199","16,327","11,595","10,194","15,805","17,137","10,132","9,902","10,362","11,553","13,224","16,243","11,005"
25-29,"223,561","22,583","13,766","15,658","16,733","14,234","12,717","16,432","16,186","10,598","10,630","11,849","14,199","16,311","18,735","12,930"
30-34,"238,200","21,236","11,519","15,739","17,548","15,659","15,052","17,428","15,749","11,676","11,978","13,673","17,685","19,130","19,120","15,008"
35-39,"231,768","19,737","9,771","14,954","17,283","14,814","14,943","17,332","15,640","12,410","12,395","14,265","17,301","19,194","17,497","14,232"
40-44,"217,891","18,189","9,108","13,998","16,873","13,620","13,467","16,608","14,981","12,282","12,038","14,036","15,506","17,386","16,384","13,415"
45-49,"185,140","15,225","8,258","11,781","13,603","11,501","11,672","14,108","11,775","10,274","10,907","12,302","13,584","14,690","13,652","11,808"
50-54,"163,496","13,448","7,790","10,062","11,685","10,389","10,840","12,602","9,306","8,968","9,893","11,105","12,135","13,069","12,175","10,029"
55-59,"160,486","12,828","8,444","10,169","11,142","10,265","10,704","12,071","8,471","8,786","9,614","10,746","11,563","13,142","12,672","9,869"
60-64,"151,535","11,775","8,688","9,348","9,722","9,668","10,226","11,202","7,660","8,231","8,865","10,100","11,217","13,206","12,391","9,236"
65-69,"137,283","10,448","8,249","8,474","8,723","8,764","9,110","10,029","6,889","7,575","7,793","9,133","10,156","12,259","11,612","8,069"
70-74,"118,042","8,475","7,038","7,274","7,531","7,516","7,866","8,766","6,073","6,674","7,097","7,861","8,756","10,263","9,816","7,036"
75-79,"93,044","6,420","5,227","5,795","5,829","5,904","6,200","7,077","4,598","5,498","5,761","6,447","7,039","8,148","7,455","5,646"
80 y más,"144,408","10,187","9,325","9,015","8,048","9,711","10,361","11,182","5,381","7,757","8,724","10,191","10,664","13,370","11,883","8,609"
,,,,,,,,,,,,,,,,(continúa)
,,,,,,,,,,,,,,,,
Varón,,,,,,,,,,,,,,,,
