Proyecciones de población por grupo de edad y comuna según sexo. Ciudad de Buenos Aires. 1 de julio de 2018,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Total,"3,068,043","254,408","149,607","192,945","239,279","187,159","185,067","241,065","227,495","170,842","170,394","190,016","214,229","236,107","227,003","182,427"
0-4,"206,987","16,999","7,065","11,981","19,714","11,054","11,203","18,218","23,269","12,324","11,026","11,525","14,124","14,380","12,663","11,442"
5-9,"202,637","15,346","6,715","11,608","19,769","11,040","10,756","17,949","22,431","12,934","11,651","12,603","13,572","13,227","11,414","11,622"
10-14,"201,321","15,470","6,674","11,664","20,475","10,911","10,077","17,936","22,221","13,076","11,488","12,533","13,014","12,831","11,265","11,686"
15-19,"186,460","15,051","8,326","11,031","17,867","10,287","9,416","15,887","19,150","11,385","10,452","11,152","11,806","12,050","11,913","10,687"
20-24,"198,709","19,887","13,506","14,000","16,115","11,429","10,044","15,595","16,955","9,987","9,750","10,197","11,388","13,022","16,000","10,834"
25-29,"217,947","22,100","13,400","15,261","16,327","13,869","12,386","16,027","15,832","10,327","10,349","11,527","13,835","15,878","18,245","12,584"
30-34,"238,445","21,342","11,515","15,753","17,583","15,668","15,057","17,455","15,818","11,683","11,974","13,658","17,695","19,125","19,121","14,998"
35-39,"230,684","19,721","9,709","14,882","17,219","14,739","14,864","17,261","15,620","12,347","12,320","14,169","17,213","19,079","17,399","14,142"
40-44,"220,599","18,488","9,208","14,170","17,099","13,781","13,626","16,824","15,218","12,430","12,171","14,182","15,693","17,579","16,571","13,559"
45-49,"191,674","15,824","8,537","12,195","14,098","11,903","12,076","14,614","12,232","10,632","11,277","12,711","14,059","15,190","14,120","12,206"
50-54,"164,141","13,558","7,811","10,100","11,744","10,426","10,876","12,657","9,376","9,001","9,920","11,128","12,177","13,104","12,211","10,052"
55-59,"159,210","12,778","8,366","10,088","11,065","10,180","10,613","11,983","8,431","8,714","9,526","10,640","11,468","13,021","12,560","9,777"
60-64,"152,514","11,899","8,733","9,409","9,795","9,727","10,287","11,282","7,735","8,282","8,912","10,147","11,286","13,277","12,460","9,283"
65-69,"137,687","10,519","8,266","8,500","8,759","8,787","9,132","10,065","6,932","7,594","7,807","9,143","10,184","12,281","11,637","8,081"
70-74,"119,546","8,616","7,119","7,367","7,635","7,613","7,963","8,883","6,171","6,757","7,177","7,947","8,865","10,383","9,934","7,116"
75-79,"94,480","6,544","5,302","5,883","5,925","5,995","6,292","7,191","4,684","5,582","5,843","6,537","7,144","8,266","7,566","5,726"
80 y más,"145,002","10,266","9,355","9,053","8,090","9,750","10,399","11,238","5,420","7,787","8,751","10,217","10,706","13,414","11,924","8,632"
,,,,,,,,,,,,,,,,(continúa)
,,,,,,,,,,,,,,,,
Varón,,,,,,,,,,,,,,,,
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Total,"1,437,936","125,950","66,783","90,982","114,278","85,995","84,450","113,265","108,496","82,474","79,887","89,682","99,940","107,752","102,657","85,345"
0-4,"106,543","8,930","3,735","6,308","10,184","5,703","5,707","9,453","11,757","6,364","5,627","5,902","7,186","7,480","6,388","5,819"
5-9,"104,260","7,967","3,491","6,107","10,075","5,775","5,453","9,166","11,330","6,761","6,070","6,454","6,891","6,818","5,841","6,061"
10-14,"103,042","8,021","3,447","6,076","10,472","5,578","5,131","9,119","11,171","6,903","5,663","6,574","6,633","6,651","5,700","5,903"
15-19,"94,342","7,770","3,964","5,608","9,003","5,239","4,745","8,084","9,473","5,824","5,380","5,714","6,052","6,183","5,771","5,532"
20-24,"98,589","10,328","6,125","6,959","8,138","5,680","4,921","7,764","8,329","5,147","4,870","5,277","5,773","6,344","7,482","5,452"
25-29,"106,619","11,322","6,223","7,618","8,102","6,711","5,905","7,903","7,901","5,206","5,141","5,834","6,686","7,406","8,509","6,152"
30-34,"116,251","11,242","5,424","7,978","8,454","7,560","7,145","8,422","7,680","5,880","5,862","6,743","8,524","8,931","9,079","7,327"
35-39,"112,354","10,170","4,643","7,325","8,431","7,001","7,090","8,519","7,546","6,181","6,007","6,976","8,310","9,036","8,228","6,891"
40-44,"106,598","9,461","4,242","7,019","8,410","6,615","6,434","8,023","7,349","6,207","5,803","6,795","7,592","8,330","7,834","6,484"
45-49,"90,836","7,978","3,853","5,798","6,646","5,572","5,637","6,857","5,756","5,129","5,355","6,126","6,710","7,138","6,521","5,760"
50-54,"76,151","6,828","3,405","4,635","5,459","4,753","4,934","5,772","4,428","4,369","4,673","5,321","5,661","5,862","5,446","4,605"
55-59,"71,665","6,168","3,556","4,557","5,145","4,394","4,731","5,412","3,827","4,114","4,342","4,803","5,169","5,576","5,440","4,431"
60-64,"66,342","5,546","3,689","3,937","4,315","4,055","4,400","4,954","3,255","3,836","4,070","4,500","4,933","5,592","5,208","4,052"
65-69,"57,610","4,715","3,459","3,399","3,640","3,482","3,773","4,267","2,847","3,257","3,297","3,959","4,354","5,012","4,811","3,338"
70-74,"47,577","3,646","2,776","2,825","3,117","2,906","3,038","3,576","2,450","2,765","2,906","3,153","3,530","4,171","3,907","2,811"
