Proyecciones de población por grupo de edad y comuna según sexo. Ciudad de Buenos Aires. 1 de julio de 2016,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Total,"3,059,122","252,053","149,848","192,573","238,303","186,740","184,611","240,116","225,737","170,353","170,163","189,956","213,576","235,819","226,884","182,390"
0-4,"209,174","17,048","7,165","12,117","19,896","11,185","11,343","18,397","23,363","12,472","11,179","11,701","14,293","14,579","12,828","11,608"
5-9,"204,345","15,359","6,795","11,715","19,905","11,146","10,866","18,086","22,472","13,060","11,788","12,767","13,704","13,379","11,538","11,765"
10-14,"197,767","15,081","6,581","11,468","20,084","10,731","9,916","17,605","21,687","12,860","11,322","12,369","12,800","12,643","11,095","11,525"
15-19,"186,431","14,932","8,354","11,037","17,836","10,297","9,431","15,869","19,024","11,396","10,483","11,200","11,819","12,085","11,943","10,725"
20-24,"203,983","20,254","13,912","14,381","16,516","11,746","10,328","15,995","17,292","10,263","10,040","10,514","11,703","13,409","16,466","11,164"
25-29,"229,377","23,075","14,147","16,071","17,153","14,612","13,058","16,851","16,550","10,880","10,924","12,184","14,577","16,760","19,245","13,290"
30-34,"237,445","21,081","11,500","15,692","17,476","15,616","15,015","17,361","15,645","11,645","11,957","13,658","17,636","19,096","19,080","14,987"
35-39,"232,409","19,710","9,811","14,998","17,314","14,861","14,995","17,370","15,628","12,452","12,447","14,334","17,356","19,273","17,564","14,296"
40-44,"214,302","17,813","8,972","13,768","16,578","13,401","13,255","16,325","14,683","12,084","11,857","13,835","15,258","17,124","16,132","13,217"
45-49,"179,233","14,674","8,006","11,407","13,156","11,139","11,307","13,650","11,360","9,949","10,574","11,934","13,156","14,240","13,230","11,451"
50-54,"163,550","13,394","7,804","10,067","11,677","10,396","10,850","12,598","9,276","8,973","9,909","11,132","12,143","13,091","12,191","10,049"
55-59,"161,548","12,858","8,511","10,238","11,203","10,337","10,781","12,143","8,496","8,845","9,688","10,838","11,645","13,247","12,768","9,950"
60-64,"150,539","11,649","8,641","9,288","9,647","9,607","10,165","11,120","7,583","8,177","8,816","10,052","11,146","13,136","12,322","9,190"
65-69,"136,744","10,364","8,228","8,441","8,680","8,732","9,079","9,982","6,837","7,547","7,771","9,113","10,119","12,226","11,575","8,050"
70-74,"116,451","8,327","6,950","7,177","7,421","7,419","7,764","8,640","5,971","6,586","7,008","7,770","8,640","10,136","9,691","6,951"
